ID_src,ID_dst,dist
AL0087,AL0252,17.33701110651686
AL0222,AL0088,11.283655635011172
AL0252,AL0088,16.542560512420465
AL0090,AL0093,12.619396532379437
AL0093,AL0090,12.619396532379437
AL0090,AL0095,13.648878016480348
AL0090,AL0096,3.4804725980682236
AL0090,AL0099,17.392577584257957
AL0090,AL0102,16.22071693509409
AL0103,AL0090,12.179879497600407
AL0090,AL0104,17.088177519720308
AL0090,AL0108,16.14513556699159
AL0090,AL0254,16.14513556699159
AL0093,AL0091,10.422871634584144
AL0091,AL0097,16.82391930662405
AL0097,AL0091,16.82391930662405
AL0091,AL0098,13.935627078207272
AL0091,AL0099,6.317332091349503
AL0091,AL0102,7.055371060965862
AL0091,AL0103,9.944355260011582
AL0091,AL0106,15.69557485573708
AL0106,AL0091,15.69557485573708
AL0108,AL0091,18.929352544073467
AL0132,AL0091,16.385039697059838
AL0135,AL0091,18.541193938697905
AL0254,AL0091,18.929352544073467
AL0093,AL0092,14.785855661846158
AL0095,AL0092,17.49265166873481
AL0092,AL0097,4.636465235656023
AL0092,AL0098,13.441788906497491
AL0100,AL0092,6.13329622068514
AL0092,AL0102,15.544407115708541
AL0102,AL0092,15.544407115708541
AL0103,AL0092,19.994718289972052
AL0092,AL0104,9.161861823631593
AL0092,AL0105,19.776236590914795
AL0106,AL0092,8.45929964566132
AL0108,AL0092,5.180742867811479
AL0092,AL0137,15.601027217893641
AL0137,AL0092,15.601027217893641
AL0092,AL0254,5.180742867811479
AL0095,AL0093,19.819447136551386
AL0096,AL0093,15.99080088449423
AL0093,AL0097,11.252577601219627
AL0097,AL0093,11.252577601219627
AL0098,AL0093,15.326516910284042
AL0093,AL0099,8.956167368991945
AL0093,AL0102,3.7184785162500877
AL0102,AL0093,3.7184785162500877
AL0103,AL0093,5.224977111551627
AL0104,AL0093,16.928142871450223
AL0093,AL0106,13.535397378945955
AL0106,AL0093,13.535397378945955
AL0108,AL0093,10.559004224671448
AL0254,AL0093,10.559004224671448
AL0095,AL0096,14.566694587290788
AL0096,AL0095,14.566694587290788
AL0095,AL0097,19.526294806350815
AL0095,AL0100,16.229531540223963
AL0100,AL0095,16.229531540223963
AL0095,AL0104,8.700540889434645
AL0104,AL0095,8.700540889434645
AL0095,AL0105,19.962074638915183
AL0095,AL0107,18.191343583111703
AL0108,AL0095,14.40224250359602
AL0095,AL0250,13.503752049819155
AL0095,AL0254,14.40224250359602
AL0099,AL0096,19.972991257707502
AL0096,AL0102,19.528683293826408
AL0096,AL0103,14.998714564977902
AL0096,AL0104,19.4539399735027
AL0096,AL0108,19.364396958358558
AL0096,AL0254,19.364396958358558
AL0097,AL0098,9.78959202361561
AL0098,AL0097,9.78959202361561
AL0099,AL0097,18.93616109704913
AL0097,AL0100,10.767072017035721
AL0097,AL0102,11.31226347052723
AL0097,AL0103,16.441656022148965
AL0097,AL0104,12.200971844746157
AL0104,AL0097,12.200971844746157
AL0097,AL0106,5.050453826285896
AL0097,AL0108,5.16106070927789
AL0108,AL0097,5.16106070927789
AL0097,AL0137,14.275175041310186
AL0254,AL0097,5.16106070927789
AL0099,AL0098,18.949533943400297
AL0098,AL0100,19.044957231678794
AL0100,AL0098,19.044957231678794
AL0102,AL0098,12.796870857871042
AL0098,AL0103,19.232431792403712
AL0103,AL0098,19.232431792403712
AL0098,AL0106,4.985221146237809
AL0106,AL0098,4.985221146237809
AL0098,AL0108,14.787343489158207
AL0108,AL0098,14.787343489158207
AL0129,AL0098,16.07934895211183
AL0132,AL0098,11.421370951101805
AL0135,AL0098,11.118901629305746
AL0137,AL0098,8.638236439887248
AL0098,AL0240,17.104976902909723
AL0240,AL0098,17.104976902909723
AL0098,AL0254,14.787343489158207
AL0102,AL0099,7.6268455557192985
AL0103,AL0099,5.389752121446443
AL0099,AL0106,19.403955757186115
AL0106,AL0099,19.403955757186115
AL0108,AL0099,19.370141292095365
AL0099,AL0254,19.370141292095365
AL0254,AL0099,19.370141292095365
AL0101,AL0100,15.29532817000419
AL0100,AL0104,7.733695720758755
AL0100,AL0105,13.660639480738373
AL0106,AL0100,14.171215384815243
AL0108,AL0100,9.517145721585422
AL0100,AL0137,19.22471984283567
AL0250,AL0100,17.25138024791307
AL0254,AL0100,9.517145721585422
AL0101,AL0105,10.936159610920111
AL0133,AL0101,19.244287310577487
AL0101,AL0146,7.379412048607719
AL0146,AL0101,7.379412048607719
AL0244,AL0101,19.313484029624153
AL0102,AL0103,6.436656058620245
AL0102,AL0104,19.41682945977632
AL0102,AL0106,12.13662041580834
AL0106,AL0102,12.13662041580834
AL0102,AL0108,12.260202532140106
AL0102,AL0132,19.86114167895954
AL0254,AL0102,12.260202532140106
AL0103,AL0106,18.276258620376503
AL0103,AL0108,15.592278898694124
AL0108,AL0103,15.592278898694124
AL0103,AL0254,15.592278898694124
AL0104,AL0105,16.03859365247612
AL0105,AL0104,16.03859365247612
AL0104,AL0106,17.07216499026508
AL0104,AL0108,7.739909037905086
AL0104,AL0250,14.571146690613803
AL0250,AL0104,14.571146690613803
AL0104,AL0254,7.739909037905086
AL0254,AL0104,7.739909037905086
AL0146,AL0105,11.769062347538485
AL0105,AL0244,10.065806920323256
AL0250,AL0105,10.114767556991625
AL0108,AL0106,10.200983907195406
AL0106,AL0132,16.405874707223337
AL0106,AL0135,15.968009731533401
AL0135,AL0106,15.968009731533401
AL0137,AL0106,9.864838494119311
AL0106,AL0240,17.779784417452625
AL0106,AL0254,10.200983907195406
AL0107,AL0250,17.909300970749072
AL0250,AL0107,17.909300970749072
AL0108,AL0137,19.238225718904843
AL0109,AL0112,11.005467260794232
AL0110,AL0111,16.306633688777378
AL0111,AL0110,16.306633688777378
AL0110,AL0218,12.164868060626356
AL0218,AL0110,12.164868060626356
AL0111,AL0218,7.101980070201248
AL0241,AL0112,15.377388721493677
AL0117,AL0118,7.302905130310159
